     2	"337",84088888,"US","USA",840,88888,NA,"Diamond Princess","US",0,0,"Diamond Princess, US",0,0,"538660","99999","BOGUS CHINESE"
     3	"571",84099999,"US","USA",840,99999,NA,"Grand Princess","US",0,0,"Grand Princess, US",0,0,"538660","99999","BOGUS CHINESE"
     6	"1305",84070005,"US","USA",840,NA,"Federal Correctional Institution (FCI)","Michigan","US",0,0,"Federal Correctional Institution (FCI), Michigan, US",0,0,"538660","99999","BOGUS CHINESE"
     7	"1337",84070004,"US","USA",840,NA,"Michigan Department of Corrections (MDOC)","Michigan","US",0,0,"Michigan Department of Corrections (MDOC), Michigan, US",0,0,"538660","99999","BOGUS CHINESE"
